"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Male","Currency: U.S. dollars","2022",4.235,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Female","Currency: Local currency","2022",553.412,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Female","Currency: 2021 PPP $","2022",8.064,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Female","Currency: U.S. dollars","2022",4.237,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Total","Currency: Local currency","2021",354.486,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2021",8.246,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Total","Currency: U.S. dollars","2021",3.732,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Male","Currency: Local currency","2021",356.727,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Male","Currency: 2021 PPP $","2021",8.299,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Male","Currency: U.S. dollars","2021",3.755,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Female","Currency: Local currency","2021",351.801,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Female","Currency: 2021 PPP $","2021",8.184,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Female","Currency: U.S. dollars","2021",3.704,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Total","Currency: Local currency","2020",270.527,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",9.018,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Total","Currency: U.S. dollars","2020",3.835,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average hourly earnings of employees by sex","Male","Currency: Local currency","2020",270.359,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
